nin_pmjay,type,address,latitude,longitude,contact,mobile,categoryno,name,pincode,district,state,categoryname,block,city
HOSP27P79002,Paid,"4-7 bhakti marg Vedant Bhakti nivas, pandharpur","17.672300000344762","75.32950999998656",Dr Dhiraj Patil,"9820904252","2","Samarth Hospital, Pandharpur","413304",SOLAPUR,MAHARASHTRA,Private PMJAY,,
,Paid,Shri Dharmasthala Manjunatheshwara Hospital Ujire Opp Post Office Charmadi Road Ujire 574240,"12.994660000358806","75.33047999975224",MANATH KUMAR N,"8256237611","2",Shri Dharmasthala Manjunatheshwara Hospital Ujire SDM Hospital,"574240",DAKSHIN KANNADA,KARNATAKA,Private PMJAY,,
HOSP27P79117,Paid,SHREE NIKETAN COLONY JALNA ROAD,"19.877319999918086","75.3334099999716",,"9822431891","2",SAOJI MULTISPECIALITY HOSPITAL,"431001",AURANGABAD,MAHARASHTRA,Private PMJAY,,
HOSP27P79181,Paid,Aurangabad Aurangabad,"19.874950000342267","75.33576999998559",Dr. P. S. Kaushik,"9890182948","2",SANJEEVANI CHILDRENS HOSPITAL,"431001",AURANGABAD,MAHARASHTRA,Private PMJAY,,
HOSP27P78959,Paid,SHAHANOOR WADI DARGA ROAD,"19.85913999971126","75.33642999984465","DR.AJAY ROTTE, DR.UNMESH TAKALKAR","8888844586","2",UNITED CIIGMA HOSPITAL(UNITED CIIGMA INSTITUTE OF MEDICAL SCIENCES PVT. LTD.),"431005",AURANGABAD,MAHARASHTRA,Private PMJAY,,
HOSP3P102900,Paid,"Village Daudhar, Takhanwadh Road","30.733379999587385","75.33841999988317",Parveen Gupta,"9877603199","2",Babe Ke Multispecialty Hospital,"142053",MOGA,PUNJAB,Private PMJAY,,
HOSP6P03512,Paid,Tosham Road Near Huda Office Hisar,"29.132939999581367","75.34100999971179",Dipti,"9416386900","2",Sai Hospital,"125005",HANUMANGARH,RAJASTHAN,Private PMJAY,,
HOSP27P79190,Paid,"2-7-79 Majanu hill, rose park beside pakiza function hall, aurangabad 431001","19.89560000023988","75.34141000017144",Dr Syed Faisal,"9225020101","2",Ikon Multispeciality Hospital pvt Ltd,"431001",AURANGABAD,MAHARASHTRA,Private PMJAY,,
HOSP27P121558,Paid,"1 st floor, APMC compound,pachora,bhadgaon road,opp. Navkar plaza Jalgaon 424201","20.66558000011696","75.34535000020242",Dr.Bhushan Magar,"9823099888","2",Vighnaharta multispeciality hospital,"424201",JALGAON,MAHARASHTRA,Private PMJAY,,
HOSP27P121443,Paid,Shivneri Nagar Garkheda Parisar,"19.865579999917088","75.34562000006304",Dr. Rajeshwar Sopanrao Khiste,"9422701249","2",Manik Hospital & Research Centre Pvt. Ltd.,"431005",AURANGABAD,MAHARASHTRA,Private PMJAY,,
HOSP27P79040,Paid,Aurangabad GARKHEDA,"19.869270000110475","75.3456699996708",DR MANJIRI VYAVHARE,"8380096522","2",DR HEDGEWAR HOSPITAL,"431005",AURANGABAD,MAHARASHTRA,Private PMJAY,,
HOSP27P112191,Paid,JALNA ROAD MAHESH NAGAR,"19.877810000031502","75.34687000015043",DR VANDANA KABRA,"9423151513","2",KABRA HOSPITAL,"431001",AURANGABAD,MAHARASHTRA,Private PMJAY,,
HOSP27P121699,Paid,"11, Mahesh nagar - baijipura road, 431003 11, Mahesh nagar - baijipura road, 431003","19.87908999970375","75.34711000042626",Dr.Abhishek Trimbak Shinde,"8600900626","2",Carewell superspeciality hospital Aurangabad,"431003",AURANGABAD,MAHARASHTRA,Private PMJAY,,
HOSP27P78990,Paid,"Adalat Road Ashoka Hotel Campus, Adalat Road","19.87411999983817","75.34826000039874",Shrigopal Bhattad,"9850062314","2","Dr. Dahiphale Medical Foundation Trust, Dr. Dahiphale Multispeciality Hospital,*","431003",AURANGABAD,MAHARASHTRA,Private PMJAY,,
HOSP27P79049,Paid,Central naka road Motiwala nagar,"19.87824999963783","75.35067000002056","Dr, Meera Deshpande","9422270807","2",Jilla Hospital,"431001",AURANGABAD,MAHARASHTRA,Private PMJAY,,
HOSP27P121518,Paid,"08, Central naka road, 431001 08, Central naka road, 431001","19.879639999886138","75.35101999997306",Dr.Mohammed Omar Khan,"8855007189","2",International Hospital Aurangabad,"431001",AURANGABAD,MAHARASHTRA,Private PMJAY,,
HOSP27P78996,Paid,N-6 CIDCO CENTRAL OCTRO NAKA ROAD,"19.877780000446705","75.35233000012948","Dr M P JAMBURE, Dr S N Pophale","8275095503","2",MAHATMA GANDHI MISSION HOSPITAL,"431003",AURANGABAD,MAHARASHTRA,Private PMJAY,,
HOSP27P79188,Paid,"Dr Y.S. Khedkar Marg, N6 Aurangabad 431003","19.87912999974975","75.36029999984515",Dr Vrushali Khedkar,"9922434323","2",BSPMs YSK Hospital,"431003",AURANGABAD,MAHARASHTRA,Private PMJAY,,
HOSP27P78999,Paid,N-4 Cidco Mukundwadi Railway station road,"19.867779999747256","75.36228000032179",Dr. Deshmukh Santosh,"7770018025","2",MIT Hospital & Research Institute,"431005",AURANGABAD,MAHARASHTRA,Private PMJAY,,
,Paid,Prashamani Hospital Balagadi Road Koppa Chikkamagaluru 577126,"13.53249999967528","75.36711999958834",REKHA U SHANKAR,"8265221996","2",Prashamani Hospital,"577126",CHIKKAMAGALURU,KARNATAKA,Private PMJAY,,
HOSP32P123615,Paid,"Trusteye Hospital Pvt Ltd, 35/2773,Second Floor,Rabi Tower,Opposite Railway Station,Kannur","11.87037000027533","75.36715999963434",,"9004650011","2",Trusteye Hospital Pvt Ltd,"670001",KANNUR,KERALA,Private PMJAY,,
HOSP32P98687,Paid,Pallikkunnu,"11.89032000026782","75.36793999963135",,"9633303308","2",Jyothis Eye Care,"670004",KANNUR,KERALA,Private PMJAY,,
HOSP32P99169,Paid,"Compass Point, Chiravakku Junction, Taliparamba","12.041899999985048","75.36799999970026",,"9207115558","2",Nethrajyothi Advanced Eye Care.,"670141",KANNUR,KERALA,Private PMJAY,,
HOSP32P92871,Paid,Dr Binus Sunrise Eye Care,"11.889699999555376","75.36969999985519",,"9072727019","2",Dr Binus Sunrise Eyecare,"670002",KANNUR,KERALA,Private PMJAY,,
HOSP32P120133,Paid,"Nh-17, Talap","11.887160000233848","75.37183999961633",,"9747223355","2",Koyili Hospital,"670004",KANNUR,KERALA,Private PMJAY,,
HOSP32G92875,Paid,"Thavakkara ,Kannur","11.873559999894155","75.37201999982318",,"9995815518","2",Meh Kannur,"670002",KANNUR,KERALA,Private PMJAY,,
HOSP32P98729,Paid,"Talap, Kannur","11.884820000242883","75.37308000014195",,"9496562401","2",Kannur Co Operative Hospital Society Ltd,"670002",KANNUR,KERALA,Private PMJAY,,
HOSP3P120160,Paid,Dera Baba Nanak Road,"32.03043999990615","75.37415999958438",Amit Kumar,"9888931697","2",Baba Gurdit Singh Kalsi Children Hospital,"143521",GURDASPUR,PUNJAB,Private PMJAY,,
HOSP3P90278,Paid,Water Works Road,"29.98824999993758","75.37926000004904",Bhupinder,"9478330805","2",Advance Eye Care Centre,"151505",MANSA,PUNJAB,Private PMJAY,,
HOSP3P23029,Paid,"Pardeep Eyecare Centre,Hospital Road","29.98824999993758","75.37926000004904",Pardeep Kumar Bansal,"9876837257","2",Pardeep Eyecare Centre,"151505",MANSA,PUNJAB,Private PMJAY,,
HOSP32P119449,Paid,"Ayikkara, Near Arakkal Museum, Kannur City 670003","11.85955000043225","75.37973000013943",,"9495618208","2",Khidma Medical Centre,"670003",KANNUR,KERALA,Private PMJAY,,
,Paid,Kvg Medical College And Hospital Kurunjibag Sullia D K 574327,"12.553410000071494","75.38219000026834",DR K V CHIDANANDA,"8257234478","2",KVG Medical College And Hospital,"574327",DAKSHIN KANNADA,KARNATAKA,Private PMJAY,,
,Paid,"23, BADHE KA BALAJI, CHURU ROAD","28.13331650005648","75.38280840018757",MR. RAJESH REWARMRS. SUMAN,"9784449980","2",R AND R MULTISPECIALITY HOSPITAL,"333001",JHUNJHUNUN,RAJASTHAN,Private PMJAY,,
HOSP27P79295,Paid,A1 MIDC Chikalthana,"19.872570000305302","75.3854899995639",Dr. Himanshu Gupta,"9225334166","2",SETH NANDALAL DHOOT HOSPITAL,"431210",AURANGABAD,MAHARASHTRA,Private PMJAY,,
HOSP27P79087,Paid,"106, Naka road, New kawsan Paithan, Aurangabad 431107","19.4754499999176","75.39003000028436",Dr Vishnu Babar,"9422232226","2","Sai Hospital, Paithan","431107",AURANGABAD,MAHARASHTRA,Private PMJAY,,
HOSP3P93521,Paid,Near Tin Koni Sirsa Road Mansa,"29.998089999553883","75.39063000007451",Sukhdev Singh,"9814164306","2",Domeli Hospital & Surgical Centre,"151505",MANSA,PUNJAB,Private PMJAY,,
,Paid,Sri Sai Plaza Beside New Dist Court P B Road Haveri 581110,"14.791799999770205","75.39350999978672",Dr Pramod M Heggeri,"9902800108","2",Parvathamma Mahadevagouda Heggeri Hospital,"581110",HAVERI,KARNATAKA,Private PMJAY,,
,Paid,Renuka Eye Hospital 1 St Cross Ashwini Nagar Haveri 581110,"14.788400000359786","75.39354999983266",DR UMESH G HIREMATH,"8375232067","2",Renuka Eye Hospital,"581110",HAVERI,KARNATAKA,Private PMJAY,,
HOSP3P10941,Paid,Water Works Road,"29.999510000286364","75.39368000043174",Dr Kulwant Singh,"9876250144","2",Kulwant Nursing Home And Endoscopic Surgical Centre,"151505",MANSA,PUNJAB,Private PMJAY,,
,Paid,No 1 B 1St Cross Rajendr Nagara P B Road Haveri 581110,"14.794440000105965","75.39385999973928",Dr Kantesh S B,"9448267812","2",Sri Kantesh Hospital And Orthopedic Truma Care Centre,"581110",HAVERI,KARNATAKA,Private PMJAY,,
HOSP3P92246,Paid,Link Road,"30.00021000019143","75.39395000029236",Dr Pankaj Sharma,"9417582899","2",Pankaj Nursing Home,"151505",MANSA,PUNJAB,Private PMJAY,,
,Paid,Ashwini Nagar 1St Main 1St Cross Haveri 581110,"14.788019999923108","75.39432999982967",Dr smitha Kulkarni,"9535404760","2",Sri Sooryanarayana Hospital,"581110",HAVERI,KARNATAKA,Private PMJAY,,
,Paid,Malladad Rudramma Memorial Hospital Near Bus Stand Haveri 581110,"14.787930000269341","75.39539000014844",DR GIRISH MALLADAD,"9844535105","2",Malladad Rudramma Memorial Hospital,"581110",HAVERI,KARNATAKA,Private PMJAY,,
,Paid,Opp Ksrtc Bus Stand P B Road Haveri 581110,"14.788209999691787","75.39914999997256",DrShravan Pandit,"9448023377","2",Shushroosha Drgvpandit Memorial Hospital,"581110",HAVERI,KARNATAKA,Private PMJAY,,
,Paid,Veerapur Multi Speciality Hospital Guttal Road Haveri 581110,"14.786749999812685","75.40241000012145",Dr Basavaraj Veerapur,"9448630478","2",Veerapur Multi Speciality Hospital,"581110",HAVERI,KARNATAKA,Private PMJAY,,
HOSP3P57856,Paid,"Mahajan Children Hospital, Library Road,Gurdaspur- 143521","32.039280000171914","75.40370000025484",Puneet Mahajan,"9988999428","2",Mahajan Children Hospital,"143521",GURDASPUR,PUNJAB,Private PMJAY,,
HOSP3P98542,Paid,Chakerian Road Mansa,"29.985970000015527","75.40454000032082",Manav Jindal,"9876122590","2",Manav Hospital,"151505",MANSA,PUNJAB,Private PMJAY,,
HOSP3P13265,Paid,Chakerian Road,"29.985929999969585","75.40506000001903",Dr Puneet Raikhy,"9815546029","2",Raikhy Nursing Home And Surgical Centre,"151505",MANSA,PUNJAB,Private PMJAY,,
,,Manakapur Chikkodi,"16.42919050044128","74.58785460030964",,,"3",Manakapur Chikkodi,"591216",BELAGAVI,KARNATAKA,Health Facilities All States,Chikkodi,
HOSP3P57787,Paid,"Opp. Pwd Rest House, Near Old Bus Stand","32.041939999631325","75.40532999987965",Chetan Nanda,"9814628661","2",Jcnanda Hospital,"143521",GURDASPUR,PUNJAB,Private PMJAY,,
HOSP3P21135,Paid,"Pathankot-Amrtisar Highway, Village Kotli Mughlan, Po Jhakolari","32.041939999631325","75.4053400003408",Daljit Singh,"9815189894","2",Chauhan Multispeciality & Trauma Centre,"145025",GURDASPUR,PUNJAB,Private PMJAY,,
,Paid,Neriya Road Kakkinje Belthangady Dakshina Kannada 574228,"13.037130000149432","75.40904000009596",DR MURALIKRISHNA,"8256275300","2",Sri Krishna Hospital,"574228",DAKSHIN KANNADA,KARNATAKA,Private PMJAY,,
HOSP3P23321,Paid,Kailash Enclave Batala Road,"32.0412900002334","75.41246000042872",Sunny Tandon,"9876911300","2",Abrol Medical Centre,"143521",GURDASPUR,PUNJAB,Private PMJAY,,
HOSP3P56191,Paid,"Near Railway Station Chowk, Bsf Road","32.04363000022437","75.41716000043374",Dr Rajan Arora,"9814032700","2",R.P. Arora Medicity,"143521",GURDASPUR,PUNJAB,Private PMJAY,,
HOSP3P32871,Paid,"Village Kot Jog Raj, P.O. Kala Bala, Tehsil And Distt. Gurdaspur","31.902340000190918","75.42076999963581",Sangeeta,"9646541844","2",Lifecaremultispeciality Hospital,"143528",GURDASPUR,PUNJAB,Private PMJAY,,
HOSP27P121661,Paid,"8 & 9, Ajintha Road, 431111 8 & 9, Ajintha Road, 431111","20.09237999973726","75.42505999961935",Dr. Apurva G Kale,"7020504700","2",Shree multispeciality hospital & icu,"431111",AURANGABAD,MAHARASHTRA,Private PMJAY,,
HOSP27P121894,Paid,"PLOT NO 2011,PHULAMBRI,NEAR GADEKAR HOSPITAL,SILLOD ROAD 431111 PLOT NO 2011,PHULAMBRI,NEAR GADEKAR HOSPITAL,SILLOD ROAD 431111","20.091369999925632","75.42542999959488",Dr.Manoj Appasaheb Gadekar,"9422207031","2",Ganpati ICU & Multispeciality Hospital,"431111",AURANGABAD,MAHARASHTRA,Private PMJAY,,
HOSP27P121858,Paid,"Nachanvel Taluka Kannad Dist Aurangabad, 431104 Nachanvel Taluka Kannad Dist Aurangabad, 431104","20.311350000002562","75.42583000005453",Dr.Prashant Chavan,"7385123000","2",Adarsha Sahakari Rugnalaya And Research Center,"431104",AURANGABAD,MAHARASHTRA,Private PMJAY,,
HOSP32P119535,Paid,Gimcare Hospital,"11.839950000392264","75.42794000023088",,"9566048844","2",Gimcare Hospital A Unit Of Genesis Institute Of Medical Science Pvt Ltd,"670007",KANNUR,KERALA,Private PMJAY,,
,,Jote village,"27.236741999743572","93.5537640002085",,,"3",Jote PHC,"791123",PAPUM-PARE,ARUNACHAL PRADESH,Health Facilities All States,Balijan,
,Paid,"18 ganesh vihar ,jaipur road ,chomu","27.09145000041724","75.43541000027136",nanu ram yadav,"9660248328","2",SEVAYATAN CHILD AND GENERAL HOSPITAL,"303702",JAIPUR,RAJASTHAN,Private PMJAY,,
HOSP27P121838,Paid,"PANDHARPUR ROAD, 413305 PANDHARPUR ROAD, 413305","17.516540000320788","75.44647000039026",Dr.Sandesh Sudhakar Padwal,"9403507167","2",Damaji Multispecialty Hospital,"413305",SOLAPUR,MAHARASHTRA,Private PMJAY,,
HOSP6P01865,Paid,"7-8, Model Town ,Near New Bus Stand","29.515600000439747","75.44853000005952",Sushant Rai,"9999244049","2",Eye Q Vision Pvt Ltd,"125050",FATEHABAD,HARYANA,Private PMJAY,,
HOSP27P122040,Paid,Solapur Solapur,"17.509190000418243","75.4495900003783",Dr.Pushpanjali Nandkumar Shinde,"9421908390","2",Mahila Hospital Mangalwedha,"413305",SOLAPUR,MAHARASHTRA,Private PMJAY,,
HOSP6P02458,Paid,Model Town Near Bus Stand,"29.514620000212915","75.45048999961386",Pawan Mehta,"9416106565","2",Jaipur Children Hospital,"125050",FATEHABAD,HARYANA,Private PMJAY,,
HOSP3P98739,Paid,Chakerian Road Mansa,"29.988089999753754","75.4528899996738",Dr Janak Raj Singla,"9815184982","2",Janak Nursing Home,"151505",MANSA,PUNJAB,Private PMJAY,,
HOSP6P03502,Paid,"Scf No 20-21, Model Town","29.511770000085505","75.455220000103",Suresh Wadhwa,"9896923002","2",Wadhwa Surgical Hospital,"125050",FATEHABAD,HARYANA,Private PMJAY,,
HOSP6P111866,Paid,"Sco 178-181 P,Sec-3.Near Court Complex .Fatehabad","29.51177999964733","75.455220000103",Dr Amit Kumar,"9671035725","2",Sadbhavna Hospital,"125050",FATEHABAD,HARYANA,Private PMJAY,,
HOSP6P102802,Paid,"13-14, Improvement Trusy Market, Near Old Bus Stand, G.T. Road, Ftaehabad","29.509769999585842","75.45778999990864",Sanjay Bansal,"9812075676","2",Bansal Hospital & Heart Care Centre,"125050",FATEHABAD,HARYANA,Private PMJAY,,
HOSP32P118929,Paid,"Puravoor,Koodali Po,Kannur","11.928660000258844","75.46404999990762",,"8606950001","2",Thanal Dialysis Centre Kanhirode,"670592",KANNUR,KERALA,Private PMJAY,,
HOSP3P88864,Paid,Gt Road Dinanagar Distt.Gurdaspur,"32.127000000249836","75.4681199996383",Sushil Saini,"7986192715","2",Bahri Hospital,"143531",GURDASPUR,PUNJAB,Private PMJAY,,
HOSP6P02327,Paid,"S L Minda Memorial Hospital Bagla, Bagla Road","29.190009999961603","75.47227999992214",Rajesh Kumar Gotra,"7082984604","2",Sl Minda Memorial Hospital,"125052",HISAR,HARYANA,Private PMJAY,,
HOSP3P117383,Paid,"Tehsil Road, Jagraon","30.800509999836663","75.4725200001979",Gaurav Gupta,"9876322900","2",Garg Hospital & Child Care Center,"142026",LUDHIANA,PUNJAB,Private PMJAY,,
HOSP3P120334,Paid,"Tehsil Road , Jagraon,","30.808570000105476","75.47529000023337",Gurwinder,"8288060119","2",Hans Maternity Home,"142026",LUDHIANA,PUNJAB,Private PMJAY,,
HOSP3P108941,Paid,"Opposite Lal Palace, Model Town, Jagraon","30.793799999770215","75.47609999981518",Dr Karan Singla,"8054000756","2",Karan Singla Surgical And Gerenal Hospital,"142026",LUDHIANA,PUNJAB,Private PMJAY,,
HOSP3P106633,Paid,"Sua Road, Hira Bagh, St. No. 6, Jagraon.","30.8085799996673","75.47769999985519",Divyanshu Gupta,"8146791166","2",Sukhveen Hospital,"142026",LUDHIANA,PUNJAB,Private PMJAY,,
HOSP3P106638,Paid,"Gupta Hospital, Kacha Malak Road","30.802390000198386","75.47939000044823",Surinder Kumar Gupta,"9814102025","2",Gupta Hospital,"142026",LUDHIANA,PUNJAB,Private PMJAY,,
HOSP3P102568,Paid,Taneja Hospital Gt Road Basant Market,"30.78000000009996","75.47999999980021",Tarunpreet Singh,"9878633047","2",Taneja Hospital,"142026",LUDHIANA,PUNJAB,Private PMJAY,,
HOSP32P92870,Paid,"City Center, Thalassery, Kannur","11.764050000407224","75.4811200001879",,"9846536886","2",Comtrust Charitable Trust Eye Hospital,"670101",KANNUR,KERALA,Private PMJAY,,
HOSP6P16674,Paid,Village - Balsmand,"29.06786999990061","75.49089999973523",Rajesh Kumar,"9050009481","2",Chhabildas Memorial Hospital,"125004",HISAR,HARYANA,Private PMJAY,,
HOSP32P119811,Paid,Goods Shed Road Thalassery 670101,"11.754109999776745","75.49114000001106",,"9526107858","2",Thalassery Mission Hospital Pvt.Ltd,"670101",KANNUR,KERALA,Private PMJAY,,
HOSP32P122846,Paid,"Peekay Eye Care Hospital , Shoppers Mall , Ncc Road , Thalassery , Kannur Dist , Pin-670101","11.749770000185435","75.49210000021492",,"7736373130","2",Peekay Eye Care Hospital,"670101",KANNUR,KERALA,Private PMJAY,,
,,Sarjapura Main Road,"12.860554300140905","77.78400609990166",,,"3",Halanayakanahalli PHC,"560035",BENGALURU URBAN,KARNATAKA,Health Facilities All States,Bengaluru East,
HOSP32P119797,Paid,Archanahospital,"11.753300000194884","75.49286999975072",,"9633146929","2",Archana Hospital Presentation Educational And Charitable Trust,"670673",KANNUR,KERALA,Private PMJAY,,
HOSP32G92874,Paid,Anjarakandy .P.O,"11.875899999885121","75.49900999961187",,"9447082662","2",Kannur Medical College,"670612",KANNUR,KERALA,Private PMJAY,,
,Paid,Pushpa Hospital Main Road Narasimharajapura 577134,"13.607090000403218","75.50263999973623",DR MARY SUSANNA,"8266220152","2",Pushpa Hospital,"577134",CHIKKAMAGALURU,KARNATAKA,Private PMJAY,,
HOSP32P120414,Paid,"Snehatheeram Dialysis Center, (Po)Dharmadam,","11.746920000058026","75.5061299996998",,"8129376278","2",SNEHATHEERAM DIALYSIS CENTER DARMADAM,"670106",KANNUR,KERALA,Private PMJAY,,
HOSP32P119570,Paid,"Indira Gandhi Co-Operative Hospital,Manjodi,Thiruvangad(Po),Thalassery","11.74712000028785","75.50643000004453",,"9744100901","2",Indira Gandhi Co Operative Hospital,"670103",KANNUR,KERALA,Private PMJAY,,
HOSP32P100310,Paid,"Manjodi, Thiruvangadu, Thalassery, Kannur","11.74712000028785","75.50643000004453",,"8943501501","2",Metromed International Cardiac Centre Pvt. Ltd,"670103",KANNUR,KERALA,Private PMJAY,,
HOSP1P56595,Paid,"National Highway, Kali Bari, Kathua","32.39846000012898","75.50928999973377",Dr. AK Gupta,"9419150250","2",Gupta Hospital & Research Centre,"184101",KATHUA,JAMMU AND KASHMIR,Private PMJAY,,
HOSP32P119772,Paid,"Sreekandapuram,Kottoor,670631,Kannur","12.040319999968062","75.51213999986118",,"9605477613","2",Rajivgandhicooperativeinstituteofmedicalscienceltdnumberc1999Sreekandapuram,"670631",KANNUR,KERALA,Private PMJAY,,
,Paid,K H Patil Hospital And Research Institute Hulkoti Post Gadag 582205,"15.429030000434238","75.52525999964934",Shankaragouda Naganur,"8372289018","2",K H Patil Hospital And Research Institute,"582205",GADAG,KARNATAKA,Private PMJAY,,
,Paid,Mahaveer Road Opposite Water Tank Bagalkot,"14.567859999639325","75.52611999973823",shravan masurkar,"9855645666","2",Shri Banashankari Eye Hospital Bagalkot,"587101",HAVERI,KARNATAKA,Private PMJAY,,
HOSP3P91635,Paid,St No 5. Gtb Nagar Bharat Surgical And Maternity Centre Barnala,"30.356529999559882","75.52761999966333",Bhatat Bhushan,"9417243600","2",Bharat Surgical And Maternity Centre Barnala,"148101",BARNALA,PUNJAB,Private PMJAY,,
HOSP3P68864,Paid,K C Road Near Nirankari Bhavan Barnala,"30.356374446523546","75.5297000461203",Ddr Tanu Garg,"9914089594","2",Dr. Tanu Garg Eye Hospital,"148101",BARNALA,PUNJAB,Private PMJAY,,
HOSP3P11092,Paid,Punjab Eye Hospital Bus Stand Road Near Taraksheel Chowk Barnala,"30.378740000350774","75.52987000000053",Abhishek Singla,"7087080202","2",Punjab Eye Hospital,"148101",BARNALA,PUNJAB,Private PMJAY,,
,Paid,LINK ROAD BAGRU,"26.59156000019391","75.53003000018441",Dr. Kuldeep Bhardwaj,"9828660226","2",BHARDWAJ HOSPITAL,"303007",JAIPUR,RAJASTHAN,Private PMJAY,,
,Paid,Nanjappa Life Care 5619 Gadikoppa Sagar Road Shimoga 577205,"13.946650000297325","75.5330999996653",Dr AVINASH D B,"8182251166","2",Nanjappa Life Care,"577205",SHIVAMOGGA,KARNATAKA,Private PMJAY,,
HOSP3P41900,Paid,Prem Eye And Maternity Hospital,"30.36758000011696","75.53354999973277",Dr Tapinderjot,"9814099715","2",Prem Eye And Maternity Hospital,"148101",BARNALA,PUNJAB,Private PMJAY,,
HOSP3P46490,Paid,In Front Dana Mandi Gate No. 2 Main Mansa Road Bhikhi Dist Mansa,"30.05819999983015","75.53426000009898",Anil Kumar Garg,"9815088176","2",Dr Atma Ram Eye & General Hospital,"151504",MANSA,PUNJAB,Private PMJAY,,
HOSP3P10867,Paid,Mittal Street Near M C Office Ram Bagh Road,"30.37234000019089","75.53816000008402",Parshant Kumar,"9914216070","2",Mittal Hospital,"148101",BARNALA,PUNJAB,Private PMJAY,,
HOSP27P121827,Paid,JALGAON JALGAON,"21.020630000274366","75.54187999986215",AMARNATH ANAND CHAUDHARI,"7057522637","2",KANTAI NETRALAYA,"425001",JALGAON,MAHARASHTRA,Private PMJAY,,
HOSP3P100283,Paid,Chodha Hospital,"31.335450000317337","75.54222999981471",Sukhdeep Singh,"9814039916","2",Chodha Hospital,"144021",JALANDHAR,PUNJAB,Private PMJAY,,
HOSP3P59485,Paid,"Kc Road ,Barnala","30.372799999820188","75.54403000008449",Dr Karan Sharma,"9915644644","2",Dr Pardeep Sharma Hospital,"148101",BARNALA,PUNJAB,Private PMJAY,,
HOSP3P15671,Paid,"25 Acre Ext, Mear Fountain Chowk, Barnala","30.382489999713755","75.54413999976123",Abhishek Bansal,"9216322630","2",Lifeline Multispeciality Hospital,"148101",BARNALA,PUNJAB,Private PMJAY,,
HOSP3P92120,Paid,Opposite Civil Hospital,"30.37965000004749","75.54610999977672",Ravneet Kaur,"9780007958","2",Tathgur Hospital,"148101",BARNALA,PUNJAB,Private PMJAY,,
HOSP3P12199,Paid,Near Bus Stand Sunam,"30.38194999999257","75.54680000011996",Sarabjeet,"9814431212","2",Dr Rajiv Singla Hospital,"148028",BARNALA,PUNJAB,Private PMJAY,,
,,,"30.382179999807192","75.54680000011996",,,,,,,,,,
HOSP3P91301,Paid,Sood Nagar Court Road,"30.380410000021527","75.54737000032532",Dr Tapender Jot,"9814931161","2",Sood Nursing Home,"148101",BARNALA,PUNJAB,Private PMJAY,,
HOSP27P79231,Paid,"51,Radha Krishna colony, Jalgaon","21.007009999911645","75.54838999969877",Dr. Anil Patil,"9420557250","2",GAYATRI HOSPITAL,"425001",JALGAON,MAHARASHTRA,Private PMJAY,,
HOSP3P60227,Paid,"Near T.V. Tower, Adda Khambra, Nakodar Road","31.27973999970129","75.5487599996743",Harsh Bala,"9216194614","2",S. Satnam Singh Memorial Innocent Hearts Multispeciality Hospital,"144026",JALANDHAR,PUNJAB,Private PMJAY,,
HOSP3P58422,Paid,"Adda Khambra,Nakodar Road,Jalandhar","31.28028999988362","75.55062000001305",Jasbir Singh Mann,"9815157000","2",Mann Mediciti Hospital,"144026",JALANDHAR,PUNJAB,Private PMJAY,,
HOSP3P101514,Paid,"Near Sports College, Kapurthala Road","31.33605000010749","75.55111000012647",Ranjeev Singh,"9872017770","2",Jammu Hospital,"144001",JALANDHAR,PUNJAB,Private PMJAY,,
HOSP27P121817,Paid,JALGAON JALGAON,"20.996430000344276","75.55525000038728",DR MILIND WAYKOLE,"9423978455","2",SANJEEVAN HEART HOSPITAL,"425002",JALGAON,MAHARASHTRA,Private PMJAY,,
,Paid,Sahyadri Narayana Hrudayalaya New Thirthahalli Road Harakere Shimoga 577202,"13.900729999689759","75.55618000010696",PRASHANTDESAI,"8182221588","2",Sahyadri Narayana Hrudayalaya,"577202",SHIVAMOGGA,KARNATAKA,Private PMJAY,,
HOSP3P58777,Paid,"128, Guru Nanak Kapurthala Road","31.335709999716755","75.55712999984968",Suraj Dhir,"8196046333","2",Nhs Hospital A Unit Of Nasa Brain And Spine Centre,"144008",JALANDHAR,PUNJAB,Private PMJAY,,
,,Telasang PHC Athani,"16.792027099770905","75.37537690012391",,,"3",Telasang PHC Athani,"591265",BELAGAVI,KARNATAKA,Health Facilities All States,Athani,
HOSP27P79026,Paid,DHAKE COLONY PRATAP NAGAR,"21.011400000010042","75.55741999973327",DR RAVINDRA MAHAJAN,"9422292116","2",MAHAJAN HOSPITAL,"425001",JALGAON,MAHARASHTRA,Private PMJAY,,
HOSP27P121678,Paid,JALGAON JALGAON,"21.01211999993808","75.55788000026183",PRAKASH B CHAUBE,"9422209608","2",JPC BANK RAMDAS PATIL SMURTI SEVA TRUST RAJE SHREE CHATRAPATI SHAHU MAHARAJ HOS*,"425001",JALGAON,MAHARASHTRA,Private PMJAY,,
HOSP3P110976,Paid,275 276 J P Nagar,"31.327510000186408","75.55827999982222",Karan,"9878012771","2",Aggarwal Liver And Gut Superspeciality Hospital,"144003",JALANDHAR,PUNJAB,Private PMJAY,,
,Paid,R M R road Durgigudi Above syndicate Bank,"13.935180000156947","75.55841000042125",Dr Rajeev Pandurangi,"9243334524","2",Sindhu Urology Hospital,"577202",SHIVAMOGGA,KARNATAKA,Private PMJAY,,
